Type,Term,Year,Count,Perc
ISA,ecosim*,2008,4,6.78
ISA,ecosim*,2006,3,5.085
ISA,ecosim*,1998,1,1.695
Classic biodiversity patterns,evenness,2019,175,7.39
Classic biodiversity patterns,evenness,2018,231,9.755
Classic biodiversity patterns,evenness,2017,218,9.206
Classic biodiversity patterns,evenness,2016,206,8.699
Classic biodiversity patterns,evenness,2015,192,8.108
Classic biodiversity patterns,evenness,2014,183,7.728
Classic biodiversity patterns,evenness,2013,182,7.686
Classic biodiversity patterns,evenness,2012,157,6.63
Classic biodiversity patterns,evenness,2011,116,4.899
Classic biodiversity patterns,evenness,2010,131,5.532
Classic biodiversity patterns,evenness,2009,88,3.716
Classic biodiversity patterns,evenness,2008,80,3.378
Classic biodiversity patterns,evenness,2007,76,3.209
Classic biodiversity patterns,evenness,2006,55,2.323
Classic biodiversity patterns,evenness,2005,49,2.069
Classic biodiversity patterns,evenness,2004,48,2.027
Classic biodiversity patterns,evenness,2003,39,1.647
Classic biodiversity patterns,evenness,2002,34,1.436
Classic biodiversity patterns,evenness,2001,39,1.647
Classic biodiversity patterns,evenness,2000,23,0.971
Classic biodiversity patterns,evenness,1999,14,0.591
Classic biodiversity patterns,evenness,1998,9,0.38
Classic biodiversity patterns,evenness,1997,9,0.38
Classic biodiversity patterns,evenness,1996,5,0.211
Classic biodiversity patterns,evenness,1995,6,0.253
Biotic interactions and networks,heterospecific* OR hetero-specific*,2019,13,10.924
Biotic interactions and networks,heterospecific* OR hetero-specific*,2018,18,15.126
Biotic interactions and networks,heterospecific* OR hetero-specific*,2017,21,17.647
Biotic interactions and networks,heterospecific* OR hetero-specific*,2016,14,11.765
Biotic interactions and networks,heterospecific* OR hetero-specific*,2015,8,6.723
Biotic interactions and networks,heterospecific* OR hetero-specific*,2014,9,7.563
Biotic interactions and networks,heterospecific* OR hetero-specific*,2013,6,5.042
Biotic interactions and networks,heterospecific* OR hetero-specific*,2012,7,5.882
Biotic interactions and networks,heterospecific* OR hetero-specific*,2011,6,5.042
Biotic interactions and networks,heterospecific* OR hetero-specific*,2010,4,3.361
Biotic interactions and networks,heterospecific* OR hetero-specific*,2009,3,2.521
Biotic interactions and networks,heterospecific* OR hetero-specific*,2008,3,2.521
Biotic interactions and networks,heterospecific* OR hetero-specific*,2007,2,1.681
Biotic interactions and networks,heterospecific* OR hetero-specific*,2006,2,1.681
Biotic interactions and networks,heterospecific* OR hetero-specific*,2002,1,0.84
Biotic interactions and networks,heterospecific* OR hetero-specific*,1996,1,0.84
Biotic interactions and networks,heterospecific* OR hetero-specific*,1993,1,0.84
Classic biodiversity patterns,jaccard,2019,15,5.319
Classic biodiversity patterns,jaccard,2018,19,6.738
Classic biodiversity patterns,jaccard,2017,24,8.511
Classic biodiversity patterns,jaccard,2016,22,7.801
Classic biodiversity patterns,jaccard,2015,18,6.383
Classic biodiversity patterns,jaccard,2014,23,8.156
Classic biodiversity patterns,jaccard,2013,21,7.447
Classic biodiversity patterns,jaccard,2012,18,6.383
Classic biodiversity patterns,jaccard,2011,27,9.574
Classic biodiversity patterns,jaccard,2010,12,4.255
Classic biodiversity patterns,jaccard,2009,12,4.255
Classic biodiversity patterns,jaccard,2008,11,3.901
Classic biodiversity patterns,jaccard,2007,8,2.837
Classic biodiversity patterns,jaccard,2006,13,4.61
Classic biodiversity patterns,jaccard,2005,9,3.191
Classic biodiversity patterns,jaccard,2004,2,0.709
Classic biodiversity patterns,jaccard,2003,1,0.355
Classic biodiversity patterns,jaccard,2002,2,0.709
Classic biodiversity patterns,jaccard,2001,7,2.482
Classic biodiversity patterns,jaccard,2000,4,1.418
Classic biodiversity patterns,jaccard,1999,2,0.709
Classic biodiversity patterns,jaccard,1998,1,0.355
Classic biodiversity patterns,jaccard,1997,5,1.773
Classic biodiversity patterns,jaccard,1996,1,0.355
Classic biodiversity patterns,jaccard,1995,3,1.064
Classic biodiversity patterns,nestedness,2019,77,11.738
Classic biodiversity patterns,nestedness,2018,79,12.043
Classic biodiversity patterns,nestedness,2017,61,9.299
Classic biodiversity patterns,nestedness,2016,77,11.738
Classic biodiversity patterns,nestedness,2015,68,10.366
Classic biodiversity patterns,nestedness,2014,50,7.622
Classic biodiversity patterns,nestedness,2013,50,7.622
Classic biodiversity patterns,nestedness,2012,44,6.707
Classic biodiversity patterns,nestedness,2011,33,5.03
Classic biodiversity patterns,nestedness,2010,21,3.201
Classic biodiversity patterns,nestedness,2009,20,3.049
Classic biodiversity patterns,nestedness,2008,21,3.201
Classic biodiversity patterns,nestedness,2007,14,2.134
Classic biodiversity patterns,nestedness,2006,10,1.524
Classic biodiversity patterns,nestedness,2005,9,1.372
Classic biodiversity patterns,nestedness,2004,1,0.152
Classic biodiversity patterns,nestedness,2003,3,0.457
Classic biodiversity patterns,nestedness,2002,5,0.762
Classic biodiversity patterns,nestedness,2001,6,0.915
Classic biodiversity patterns,nestedness,2000,3,0.457
Classic biodiversity patterns,nestedness,1999,2,0.305
Classic biodiversity patterns,nestedness,1997,2,0.305
Biotic interactions and networks,network*,2019,660,8.407
Biotic interactions and networks,network*,2018,926,11.795
Biotic interactions and networks,network*,2017,866,11.03
Biotic interactions and networks,network*,2016,780,9.935
Biotic interactions and networks,network*,2015,698,8.891
Biotic interactions and networks,network*,2014,603,7.681
Biotic interactions and networks,network*,2013,543,6.916
Biotic interactions and networks,network*,2012,441,5.617
Biotic interactions and networks,network*,2011,404,5.146
Biotic interactions and networks,network*,2010,357,4.547
Biotic interactions and networks,network*,2009,304,3.872
Biotic interactions and networks,network*,2008,234,2.981
Biotic interactions and networks,network*,2007,180,2.293
Biotic interactions and networks,network*,2006,192,2.446
Biotic interactions and networks,network*,2005,119,1.516
Biotic interactions and networks,network*,2004,109,1.388
Biotic interactions and networks,network*,2003,93,1.185
Biotic interactions and networks,network*,2002,90,1.146
Biotic interactions and networks,network*,2001,50,0.637
Biotic interactions and networks,network*,2000,55,0.701
Biotic interactions and networks,network*,1999,28,0.357
Biotic interactions and networks,network*,1998,26,0.331
Biotic interactions and networks,network*,1997,25,0.318
Biotic interactions and networks,network*,1996,20,0.255
Biotic interactions and networks,network*,1995,25,0.318
ISA,repulsion*,2019,2,18.182
ISA,repulsion*,2018,1,9.091
ISA,repulsion*,2017,1,9.091
ISA,repulsion*,2015,2,18.182
ISA,repulsion*,2013,1,9.091
ISA,repulsion*,2012,3,27.273
ISA,repulsion*,2004,1,9.091
ISA,segregation*,2019,28,7.349
ISA,segregation*,2018,41,10.761
ISA,segregation*,2017,34,8.924
ISA,segregation*,2016,38,9.974
ISA,segregation*,2015,24,6.299
ISA,segregation*,2014,33,8.661
ISA,segregation*,2013,25,6.562
ISA,segregation*,2012,19,4.987
ISA,segregation*,2011,21,5.512
ISA,segregation*,2010,24,6.299
ISA,segregation*,2009,15,3.937
ISA,segregation*,2008,14,3.675
ISA,segregation*,2007,10,2.625
ISA,segregation*,2006,15,3.937
ISA,segregation*,2005,6,1.575
ISA,segregation*,2004,8,2.1
ISA,segregation*,2003,3,0.787
ISA,segregation*,2002,4,1.05
ISA,segregation*,2001,6,1.575
ISA,segregation*,2000,4,1.05
ISA,segregation*,1999,2,0.525
ISA,segregation*,1998,1,0.262
ISA,segregation*,1997,1,0.262
ISA,segregation*,1996,1,0.262
ISA,segregation*,1995,3,0.787
Classic biodiversity patterns,simpson,2019,70,8.783
Classic biodiversity patterns,simpson,2018,78,9.787
Classic biodiversity patterns,simpson,2017,79,9.912
Classic biodiversity patterns,simpson,2016,70,8.783
Classic biodiversity patterns,simpson,2015,66,8.281
Classic biodiversity patterns,simpson,2014,65,8.156
Classic biodiversity patterns,simpson,2013,45,5.646
Classic biodiversity patterns,simpson,2012,37,4.642
Classic biodiversity patterns,simpson,2011,45,5.646
Classic biodiversity patterns,simpson,2010,50,6.274
Classic biodiversity patterns,simpson,2009,32,4.015
Classic biodiversity patterns,simpson,2008,21,2.635
Classic biodiversity patterns,simpson,2007,21,2.635
Classic biodiversity patterns,simpson,2006,25,3.137
Classic biodiversity patterns,simpson,2005,22,2.76
Classic biodiversity patterns,simpson,2004,12,1.506
Classic biodiversity patterns,simpson,2003,12,1.506
Classic biodiversity patterns,simpson,2002,8,1.004
Classic biodiversity patterns,simpson,2001,10,1.255
Classic biodiversity patterns,simpson,2000,11,1.38
Classic biodiversity patterns,simpson,1999,8,1.004
Classic biodiversity patterns,simpson,1998,3,0.376
Classic biodiversity patterns,simpson,1997,2,0.251
Classic biodiversity patterns,simpson,1996,2,0.251
Classic biodiversity patterns,simpson,1995,1,0.125
Classic biodiversity patterns,species-area,2019,56,5.485
Classic biodiversity patterns,species-area,2018,67,6.562
Classic biodiversity patterns,species-area,2017,65,6.366
Classic biodiversity patterns,species-area,2016,76,7.444
Classic biodiversity patterns,species-area,2015,56,5.485
Classic biodiversity patterns,species-area,2014,69,6.758
Classic biodiversity patterns,species-area,2013,55,5.387
Classic biodiversity patterns,species-area,2012,78,7.64
Classic biodiversity patterns,species-area,2011,62,6.072
Classic biodiversity patterns,species-area,2010,50,4.897
Classic biodiversity patterns,species-area,2009,44,4.31
Classic biodiversity patterns,species-area,2008,55,5.387
Classic biodiversity patterns,species-area,2007,54,5.289
Classic biodiversity patterns,species-area,2006,41,4.016
Classic biodiversity patterns,species-area,2005,43,4.212
Classic biodiversity patterns,species-area,2004,35,3.428
Classic biodiversity patterns,species-area,2003,27,2.644
Classic biodiversity patterns,species-area,2002,28,2.742
Classic biodiversity patterns,species-area,2001,21,2.057
Classic biodiversity patterns,species-area,2000,6,0.588
Classic biodiversity patterns,species-area,1999,13,1.273
Classic biodiversity patterns,species-area,1998,4,0.392
Classic biodiversity patterns,species-area,1997,4,0.392
Classic biodiversity patterns,species-area,1996,5,0.49
Classic biodiversity patterns,species-area,1995,4,0.392
Classic biodiversity patterns,species NEAR/0 richness,2019,1394,6.714
Classic biodiversity patterns,species NEAR/0 richness,2018,1830,8.814
Classic biodiversity patterns,species NEAR/0 richness,2017,1830,8.814
Classic biodiversity patterns,species NEAR/0 richness,2016,1745,8.405
Classic biodiversity patterns,species NEAR/0 richness,2015,1598,7.697
Classic biodiversity patterns,species NEAR/0 richness,2014,1494,7.196
Classic biodiversity patterns,species NEAR/0 richness,2013,1364,6.57
Classic biodiversity patterns,species NEAR/0 richness,2012,1258,6.059
Classic biodiversity patterns,species NEAR/0 richness,2011,1175,5.659
Classic biodiversity patterns,species NEAR/0 richness,2010,1031,4.966
Classic biodiversity patterns,species NEAR/0 richness,2009,926,4.46
Classic biodiversity patterns,species NEAR/0 richness,2008,844,4.065
Classic biodiversity patterns,species NEAR/0 richness,2007,770,3.709
Classic biodiversity patterns,species NEAR/0 richness,2006,654,3.15
Classic biodiversity patterns,species NEAR/0 richness,2005,572,2.755
Classic biodiversity patterns,species NEAR/0 richness,2004,438,2.11
Classic biodiversity patterns,species NEAR/0 richness,2003,430,2.071
Classic biodiversity patterns,species NEAR/0 richness,2002,342,1.647
Classic biodiversity patterns,species NEAR/0 richness,2001,253,1.219
Classic biodiversity patterns,species NEAR/0 richness,2000,210,1.011
Classic biodiversity patterns,species NEAR/0 richness,1999,163,0.785
Classic biodiversity patterns,species NEAR/0 richness,1998,135,0.65
Classic biodiversity patterns,species NEAR/0 richness,1997,107,0.515
Classic biodiversity patterns,species NEAR/0 richness,1996,71,0.342
Classic biodiversity patterns,species NEAR/0 turnover,2019,71,7.521
Classic biodiversity patterns,species NEAR/0 turnover,2018,113,11.97
Classic biodiversity patterns,species NEAR/0 turnover,2017,89,9.428
Classic biodiversity patterns,species NEAR/0 turnover,2016,89,9.428
Classic biodiversity patterns,species NEAR/0 turnover,2015,73,7.733
Classic biodiversity patterns,species NEAR/0 turnover,2014,71,7.521
Classic biodiversity patterns,species NEAR/0 turnover,2013,59,6.25
Classic biodiversity patterns,species NEAR/0 turnover,2012,65,6.886
Classic biodiversity patterns,species NEAR/0 turnover,2011,36,3.814
Classic biodiversity patterns,species NEAR/0 turnover,2010,50,5.297
Classic biodiversity patterns,species NEAR/0 turnover,2009,43,4.555
Classic biodiversity patterns,species NEAR/0 turnover,2008,38,4.025
Classic biodiversity patterns,species NEAR/0 turnover,2007,30,3.178
Classic biodiversity patterns,species NEAR/0 turnover,2006,14,1.483
Classic biodiversity patterns,species NEAR/0 turnover,2005,16,1.695
Classic biodiversity patterns,species NEAR/0 turnover,2004,14,1.483
Classic biodiversity patterns,species NEAR/0 turnover,2003,18,1.907
Classic biodiversity patterns,species NEAR/0 turnover,2002,11,1.165
Classic biodiversity patterns,species NEAR/0 turnover,2001,8,0.847
Classic biodiversity patterns,species NEAR/0 turnover,2000,12,1.271
Classic biodiversity patterns,species NEAR/0 turnover,1999,5,0.53
Classic biodiversity patterns,species NEAR/0 turnover,1998,6,0.636
Classic biodiversity patterns,species NEAR/0 turnover,1997,5,0.53
Classic biodiversity patterns,species NEAR/0 turnover,1996,4,0.424
Classic biodiversity patterns,species NEAR/0 turnover,1995,1,0.106
ISA,variance NEAR/0 ratio*,2017,1,8.333
ISA,variance NEAR/0 ratio*,2016,3,25
ISA,variance NEAR/0 ratio*,2014,2,16.667
ISA,variance NEAR/0 ratio*,2013,1,8.333
ISA,variance NEAR/0 ratio*,2007,1,8.333
ISA,variance NEAR/0 ratio*,2006,1,8.333
ISA,variance NEAR/0 ratio*,2003,1,8.333
ISA,variance NEAR/0 ratio*,2001,2,16.667
Biotic interactions and networks,conspecific* OR con-specific*,2019,36,8.219
Biotic interactions and networks,conspecific* OR con-specific*,2018,48,10.959
Biotic interactions and networks,conspecific* OR con-specific*,2017,48,10.959
Biotic interactions and networks,conspecific* OR con-specific*,2016,46,10.502
Biotic interactions and networks,conspecific* OR con-specific*,2015,36,8.219
Biotic interactions and networks,conspecific* OR con-specific*,2014,44,10.046
Biotic interactions and networks,conspecific* OR con-specific*,2013,30,6.849
Biotic interactions and networks,conspecific* OR con-specific*,2012,29,6.621
Biotic interactions and networks,conspecific* OR con-specific*,2011,24,5.479
Biotic interactions and networks,conspecific* OR con-specific*,2010,19,4.338
Biotic interactions and networks,conspecific* OR con-specific*,2009,10,2.283
Biotic interactions and networks,conspecific* OR con-specific*,2008,10,2.283
Biotic interactions and networks,conspecific* OR con-specific*,2007,11,2.511
Biotic interactions and networks,conspecific* OR con-specific*,2006,9,2.055
Biotic interactions and networks,conspecific* OR con-specific*,2005,8,1.826
Biotic interactions and networks,conspecific* OR con-specific*,2004,5,1.142
Biotic interactions and networks,conspecific* OR con-specific*,2003,6,1.37
Biotic interactions and networks,conspecific* OR con-specific*,2002,5,1.142
Biotic interactions and networks,conspecific* OR con-specific*,2001,3,0.685
Biotic interactions and networks,conspecific* OR con-specific*,2000,4,0.913
Biotic interactions and networks,conspecific* OR con-specific*,1999,3,0.685
Biotic interactions and networks,conspecific* OR con-specific*,1998,2,0.457
Biotic interactions and networks,conspecific* OR con-specific*,1997,1,0.228
Biotic interactions and networks,conspecific* OR con-specific*,1995,1,0.228
ISA,cooccurr* or co-occurr*,2019,131,11.931
ISA,cooccurr* or co-occurr*,2018,132,12.022
ISA,cooccurr* or co-occurr*,2017,113,10.291
ISA,cooccurr* or co-occurr*,2016,122,11.111
ISA,cooccurr* or co-occurr*,2015,106,9.654
ISA,cooccurr* or co-occurr*,2014,81,7.377
ISA,cooccurr* or co-occurr*,2013,75,6.831
ISA,cooccurr* or co-occurr*,2012,60,5.464
ISA,cooccurr* or co-occurr*,2011,41,3.734
ISA,cooccurr* or co-occurr*,2010,41,3.734
ISA,cooccurr* or co-occurr*,2009,39,3.552
ISA,cooccurr* or co-occurr*,2008,31,2.823
ISA,cooccurr* or co-occurr*,2007,24,2.186
ISA,cooccurr* or co-occurr*,2006,17,1.548
ISA,cooccurr* or co-occurr*,2005,19,1.73
ISA,cooccurr* or co-occurr*,2004,16,1.457
ISA,cooccurr* or co-occurr*,2003,11,1.002
ISA,cooccurr* or co-occurr*,2002,11,1.002
ISA,cooccurr* or co-occurr*,2001,11,1.002
ISA,cooccurr* or co-occurr*,2000,5,0.455
ISA,cooccurr* or co-occurr*,1999,6,0.546
ISA,cooccurr* or co-occurr*,1998,4,0.364
ISA,cooccurr* or co-occurr*,1997,1,0.091
ISA,cooccurr* or co-occurr*,1995,1,0.091
Classic biodiversity patterns,relative NEAR/0 abundance*,2019,170,8.822
Classic biodiversity patterns,relative NEAR/0 abundance*,2018,200,10.379
Classic biodiversity patterns,relative NEAR/0 abundance*,2017,204,10.586
Classic biodiversity patterns,relative NEAR/0 abundance*,2016,152,7.888
Classic biodiversity patterns,relative NEAR/0 abundance*,2015,163,8.459
Classic biodiversity patterns,relative NEAR/0 abundance*,2014,124,6.435
Classic biodiversity patterns,relative NEAR/0 abundance*,2013,130,6.746
Classic biodiversity patterns,relative NEAR/0 abundance*,2012,99,5.138
Classic biodiversity patterns,relative NEAR/0 abundance*,2011,91,4.722
Classic biodiversity patterns,relative NEAR/0 abundance*,2010,82,4.255
Classic biodiversity patterns,relative NEAR/0 abundance*,2009,70,3.633
Classic biodiversity patterns,relative NEAR/0 abundance*,2008,62,3.217
Classic biodiversity patterns,relative NEAR/0 abundance*,2007,62,3.217
Classic biodiversity patterns,relative NEAR/0 abundance*,2006,58,3.01
Classic biodiversity patterns,relative NEAR/0 abundance*,2005,48,2.491
Classic biodiversity patterns,relative NEAR/0 abundance*,2004,44,2.283
Classic biodiversity patterns,relative NEAR/0 abundance*,2003,37,1.92
Classic biodiversity patterns,relative NEAR/0 abundance*,2002,22,1.142
Classic biodiversity patterns,relative NEAR/0 abundance*,2001,24,1.245
Classic biodiversity patterns,relative NEAR/0 abundance*,2000,29,1.505
Classic biodiversity patterns,relative NEAR/0 abundance*,1999,15,0.778
Classic biodiversity patterns,relative NEAR/0 abundance*,1998,13,0.675
Classic biodiversity patterns,relative NEAR/0 abundance*,1997,14,0.727
Classic biodiversity patterns,relative NEAR/0 abundance*,1996,9,0.467
Classic biodiversity patterns,relative NEAR/0 abundance*,1995,2,0.104
Classic biodiversity patterns,SAD,2019,2,2.353
Classic biodiversity patterns,SAD,2018,12,14.118
Classic biodiversity patterns,SAD,2017,14,16.471
Classic biodiversity patterns,SAD,2016,4,4.706
Classic biodiversity patterns,SAD,2015,10,11.765
Classic biodiversity patterns,SAD,2014,6,7.059
Classic biodiversity patterns,SAD,2013,5,5.882
Classic biodiversity patterns,SAD,2012,8,9.412
Classic biodiversity patterns,SAD,2011,1,1.176
Classic biodiversity patterns,SAD,2010,5,5.882
Classic biodiversity patterns,SAD,2009,5,5.882
Classic biodiversity patterns,SAD,2008,2,2.353
Classic biodiversity patterns,SAD,2007,5,5.882
Classic biodiversity patterns,SAD,2006,2,2.353
Classic biodiversity patterns,SAD,2005,4,4.706
Classic biodiversity patterns,extinct*,2019,591,6.259
Classic biodiversity patterns,extinct*,2018,896,9.49
Classic biodiversity patterns,extinct*,2017,879,9.309
Classic biodiversity patterns,extinct*,2016,809,8.568
Classic biodiversity patterns,extinct*,2015,786,8.325
Classic biodiversity patterns,extinct*,2014,618,6.545
Classic biodiversity patterns,extinct*,2013,630,6.672
Classic biodiversity patterns,extinct*,2012,569,6.026
Classic biodiversity patterns,extinct*,2011,511,5.412
Classic biodiversity patterns,extinct*,2010,494,5.232
Classic biodiversity patterns,extinct*,2009,387,4.099
Classic biodiversity patterns,extinct*,2008,365,3.866
Classic biodiversity patterns,extinct*,2007,344,3.643
Classic biodiversity patterns,extinct*,2006,275,2.913
Classic biodiversity patterns,extinct*,2005,255,2.701
Classic biodiversity patterns,extinct*,2004,184,1.949
Classic biodiversity patterns,extinct*,2003,144,1.525
Classic biodiversity patterns,extinct*,2002,140,1.483
Classic biodiversity patterns,extinct*,2001,115,1.218
Classic biodiversity patterns,extinct*,2000,87,0.921
Classic biodiversity patterns,extinct*,1999,70,0.741
Classic biodiversity patterns,extinct*,1998,66,0.699
Classic biodiversity patterns,extinct*,1997,48,0.508
Classic biodiversity patterns,extinct*,1996,46,0.487
Classic biodiversity patterns,extinct*,1995,44,0.466
ISA,checker*,2019,2,5.405
ISA,checker*,2018,2,5.405
ISA,checker*,2017,2,5.405
ISA,checker*,2016,6,16.216
ISA,checker*,2015,3,8.108
ISA,checker*,2014,2,5.405
ISA,checker*,2013,3,8.108
ISA,checker*,2012,1,2.703
ISA,checker*,2011,3,8.108
ISA,checker*,2009,2,5.405
ISA,checker*,2006,2,5.405
ISA,checker*,2005,1,2.703
ISA,checker*,2004,2,5.405
ISA,checker*,2002,2,5.405
ISA,checker*,2001,1,2.703
ISA,checker*,1999,2,5.405
ISA,checker*,1992,1,2.703
ISA,JSDM OR (joint NEAR/0 species),2019,7,31.818
ISA,JSDM OR (joint NEAR/0 species),2018,4,18.182
ISA,JSDM OR (joint NEAR/0 species),2017,6,27.273
ISA,JSDM OR (joint NEAR/0 species),2016,1,4.545
ISA,JSDM OR (joint NEAR/0 species),2015,1,4.545
ISA,JSDM OR (joint NEAR/0 species),2014,3,13.636
ISA,co-distrib* OR codistrib*,2019,6,9.677
ISA,co-distrib* OR codistrib*,2018,4,6.452
ISA,co-distrib* OR codistrib*,2017,6,9.677
ISA,co-distrib* OR codistrib*,2016,11,17.742
ISA,co-distrib* OR codistrib*,2015,6,9.677
ISA,co-distrib* OR codistrib*,2014,6,9.677
ISA,co-distrib* OR codistrib*,2013,1,1.613
ISA,co-distrib* OR codistrib*,2012,4,6.452
ISA,co-distrib* OR codistrib*,2011,5,8.065
ISA,co-distrib* OR codistrib*,2010,4,6.452
ISA,co-distrib* OR codistrib*,2008,2,3.226
ISA,co-distrib* OR codistrib*,2007,2,3.226
ISA,co-distrib* OR codistrib*,2006,3,4.839
ISA,co-distrib* OR codistrib*,2005,1,1.613
ISA,co-distrib* OR codistrib*,2004,1,1.613
Classic biodiversity patterns,shannon,2019,197,8.167
Classic biodiversity patterns,shannon,2018,261,10.821
Classic biodiversity patterns,shannon,2017,232,9.619
Classic biodiversity patterns,shannon,2016,225,9.328
Classic biodiversity patterns,shannon,2015,224,9.287
Classic biodiversity patterns,shannon,2014,171,7.09
Classic biodiversity patterns,shannon,2013,158,6.551
Classic biodiversity patterns,shannon,2012,129,5.348
Classic biodiversity patterns,shannon,2011,117,4.851
Classic biodiversity patterns,shannon,2010,113,4.685
Classic biodiversity patterns,shannon,2009,106,4.395
Classic biodiversity patterns,shannon,2008,74,3.068
Classic biodiversity patterns,shannon,2007,67,2.778
Classic biodiversity patterns,shannon,2006,77,3.192
Classic biodiversity patterns,shannon,2005,46,1.907
Classic biodiversity patterns,shannon,2004,41,1.7
Classic biodiversity patterns,shannon,2003,28,1.161
Classic biodiversity patterns,shannon,2002,27,1.119
Classic biodiversity patterns,shannon,2001,21,0.871
Classic biodiversity patterns,shannon,2000,20,0.829
Classic biodiversity patterns,shannon,1999,28,1.161
Classic biodiversity patterns,shannon,1998,17,0.705
Classic biodiversity patterns,shannon,1997,15,0.622
Classic biodiversity patterns,shannon,1996,10,0.415
Classic biodiversity patterns,shannon,1995,5,0.207
Biotic interactions and networks,inter-specific* OR interspecific*,2019,126,7.287
Biotic interactions and networks,inter-specific* OR interspecific*,2018,192,11.105
Biotic interactions and networks,inter-specific* OR interspecific*,2017,163,9.427
Biotic interactions and networks,inter-specific* OR interspecific*,2016,156,9.023
Biotic interactions and networks,inter-specific* OR interspecific*,2015,124,7.172
Biotic interactions and networks,inter-specific* OR interspecific*,2014,131,7.577
Biotic interactions and networks,inter-specific* OR interspecific*,2013,122,7.056
Biotic interactions and networks,inter-specific* OR interspecific*,2012,106,6.131
Biotic interactions and networks,inter-specific* OR interspecific*,2011,89,5.147
Biotic interactions and networks,inter-specific* OR interspecific*,2010,78,4.511
Biotic interactions and networks,inter-specific* OR interspecific*,2009,72,4.164
Biotic interactions and networks,inter-specific* OR interspecific*,2008,57,3.297
Biotic interactions and networks,inter-specific* OR interspecific*,2007,55,3.181
Biotic interactions and networks,inter-specific* OR interspecific*,2006,40,2.313
Biotic interactions and networks,inter-specific* OR interspecific*,2005,39,2.256
Biotic interactions and networks,inter-specific* OR interspecific*,2004,27,1.562
Biotic interactions and networks,inter-specific* OR interspecific*,2003,28,1.619
Biotic interactions and networks,inter-specific* OR interspecific*,2002,26,1.504
Biotic interactions and networks,inter-specific* OR interspecific*,2001,25,1.446
Biotic interactions and networks,inter-specific* OR interspecific*,2000,21,1.215
Biotic interactions and networks,inter-specific* OR interspecific*,1999,14,0.81
